,seas_id,experience,g,ts_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,dws,ws_48,obpm,dbpm,vorp,x3p,x3p_percent,x2p_percent,ft,ft_percent,trb,ast,stl,blk,tov,pf,pts,attend,tm_win_percent,seas_avg_attend,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PG
241,30699,1,48,0.571,0.468,0.237,1.8,7.3,14.9,1.2,0.9,11.1,26.4,0.5,0.048,-0.4,-1.9,0.0,63.0,0.404,0.469,65,0.823,89.0,65,17.0,7.0,46.0,64,420,827282.0,0.4634146341463415,739389.365131579,0,0,0,0,0,1,0
242,30700,1,74,0.528,0.356,0.362,3.4,6.9,26.2,1.3,0.7,17.2,25.4,0.8,-0.001,-1.4,-1.9,-0.7,120.0,0.343,0.457,266,0.747,288.0,387,61.0,17.0,237.0,242,1204,759715.0,0.2073170731707317,739389.365131579,0,0,0,0,0,1,0
243,30701,3,79,0.611,0.376,0.201,4.3,7.1,8.4,1.5,2.7,12.6,15.8,2.4,0.087,-1.7,0.5,0.5,107.0,0.398,0.588,106,0.736,307.0,148,74.0,76.0,112.0,272,953,687510.0,0.5121951219512195,739389.365131579,0,0,0,1,0,0,0
244,30702,2,16,0.545,0.143,0.229,8.1,9.3,13.8,3.9,3.1,7.2,20.8,0.2,0.145,-2.6,2.9,0.1,2.0,0.4,0.5,6,0.75,14.0,8,7.0,3.0,3.0,15,42,839261.0,0.6585365853658537,739389.365131579,0,0,0,0,0,1,0
245,30703,11,18,0.624,0.585,0.128,5.4,10.6,10.6,1.7,1.4,6.6,13.2,0.5,0.165,0.1,1.1,0.3,24.0,0.436,0.538,10,0.833,69.0,27,12.0,6.0,7.0,27,124,718786.0,0.7073170731707317,739389.365131579,0,0,0,1,0,0,0
246,30704,3,31,0.546,0.201,0.301,6.6,9.6,18.2,1.5,1.0,15.3,18.8,0.3,0.049,-2.8,-0.7,-0.3,13.0,0.283,0.53,50,0.725,118.0,84,21.0,7.0,47.0,106,283,668865.0,0.2682926829268293,739389.365131579,0,0,0,1,0,0,0
247,30705,1,35,0.531,0.747,0.095,4.9,8.1,6.2,1.4,0.9,15.4,11.7,0.5,0.054,-3.9,0.4,-0.2,24.0,0.338,0.542,7,0.778,63.0,21,12.0,4.0,18.0,49,105,707836.0,0.6219512195121951,739389.365131579,1,0,0,0,0,0,0
248,30706,7,72,0.635,0.002,0.325,13.0,19.0,15.2,1.7,4.0,15.0,18.2,2.2,0.15,1.1,0.8,1.9,0.0,0.0,0.63,119,0.592,653.0,197,66.0,86.0,125.0,195,897,739389.365132,0.5,739389.365131579,0,0,0,0,0,0,0
249,30707,7,46,0.625,0.003,0.332,13.3,18.9,17.0,1.4,3.6,17.8,18.6,1.1,0.115,0.5,0.4,0.9,0.0,0.0,0.618,78,0.605,416.0,141,36.0,52.0,96.0,118,556,694434.0,0.2682926829268293,739389.365131579,0,0,0,0,0,0,0
250,30708,7,26,0.652,0.0,0.313,12.5,19.0,12.1,2.1,4.7,10.0,17.5,1.2,0.209,2.2,1.5,1.0,0.0,0.0,0.652,41,0.569,237.0,56,30.0,34.0,29.0,77,341,811261.0,0.5,739389.365131579,0,0,0,0,0,0,0
251,30709,5,68,0.597,0.269,0.328,1.8,5.6,28.7,1.3,0.6,9.4,27.2,1.8,0.175,4.4,-0.5,3.5,134.0,0.416,0.519,325,0.829,241.0,421,61.0,15.0,142.0,152,1633,795110.0,0.573170731707317,739389.365131579,0,0,1,0,0,0,0
252,30710,1,67,0.655,0.005,0.394,14.7,19.7,6.8,1.3,3.1,16.5,14.3,1.6,0.129,-0.4,-0.4,0.5,0.0,0.0,0.652,96,0.611,595.0,75,44.0,59.0,92.0,182,612,759715.0,0.2073170731707317,739389.365131579,0,0,0,0,0,0,0
253,30711,2,76,0.539,0.408,0.341,1.8,6.0,17.3,1.1,0.7,11.4,28.1,0.5,0.034,0.5,-2.6,0.0,187.0,0.338,0.471,364,0.786,284.0,281,59.0,18.0,200.0,131,1683,668865.0,0.2682926829268293,739389.365131579,0,0,0,0,0,1,0
254,30712,2,70,0.554,0.323,0.242,5.3,14.8,10.4,1.7,2.8,10.3,16.0,1.3,0.099,-1.2,1.5,0.6,30.0,0.288,0.587,49,0.628,282.0,83,38.0,34.0,41.0,113,395,719787.0,0.5,739389.365131579,0,0,0,1,0,0,0
255,30713,4,80,0.557,0.376,0.224,3.6,9.9,9.6,2.1,1.6,12.1,17.2,2.2,0.068,-2.7,0.6,-0.1,77.0,0.332,0.53,116,0.841,346.0,130,83.0,34.0,93.0,209,755,739389.365132,0.5,739389.365131579,0,0,0,1,0,0,0
256,30714,4,56,0.551,0.409,0.211,3.1,9.6,10.5,2.1,1.7,12.9,17.5,1.7,0.057,-2.7,0.7,0.0,65.0,0.322,0.534,88,0.846,270.0,111,66.0,29.0,80.0,158,595,702052.0,0.32926829268292684,739389.365131579,0,0,0,1,0,0,0
257,30715,4,24,0.58,0.244,0.276,5.5,10.7,6.5,2.0,1.1,8.6,16.1,0.5,0.109,-2.5,-0.1,-0.1,12.0,0.4,0.516,28,0.824,76.0,19,17.0,5.0,13.0,51,160,839261.0,0.6585365853658537,739389.365131579,0,0,0,1,0,0,0
258,30716,3,68,0.565,0.376,0.27,11.2,17.1,7.6,0.8,4.0,11.2,21.0,1.1,0.085,-0.9,-1.1,0.0,54.0,0.283,0.593,104,0.759,394.0,66,21.0,60.0,72.0,153,642,641562.0,0.4268292682926829,739389.365131579,1,0,0,0,0,0,0
259,30717,2,53,0.528,0.455,0.268,5.0,7.3,18.0,2.6,2.1,15.9,20.3,1.5,0.053,-1.8,0.8,0.3,66.0,0.327,0.496,86,0.723,161.0,155,67.0,27.0,94.0,120,524,728405.0,0.4146341463414634,739389.365131579,0,0,1,0,0,0,0
